17.04,58.88
17.03,58.85
16.96,58.56
17.04,58.57
17.18,57.78
17.02,57.89
16.98,57.97
16.86,58.14
16.84,58.3
16.8,58.33
16.81,58.34
16.89,58.1
16.93,57.86
16.87,58.33
16.94,58.39
16.87,58.11
16.86,58.28
16.83,58.58
16.9,58.65
16.99,58.98
16.93,58.57
16.9,59.27
16.83,59.42
16.69,59.77
16.54,60.76
16.31,61.46
16.08,62.29
15.98,62.62
15.98,62.84
16.02,62.96
15.98,63.18
16.02,63
15.96,63.36
15.9,63.38
15.77,64.01
15.7,64.43
15.65,64.7
15.68,64.86
15.81,64.51
15.79,64.14
15.76,64.51
15.69,64.8
15.69,64.87
15.59,65.35
15.58,66.05
15.63,65.98
15.66,65.76
15.64,65.44
15.66,65.71
15.69,65.81
15.63,65.71
15.55,66.02
15.45,66.5
15.37,67.31
15.38,67.56
15.32,67.87
15.14,68.36
15.09,68.85
15.09,68.96
15.06,68.88
14.85,69.57
14.72,70.18
14.71,70.69
14.79,70.6
14.85,70.2
14.8,70.53
14.88,70.67
14.85,70.97
14.83,70.95
14.72,71.62
14.68,72.42
14.82,71.26
14.89,71.34
14.88,71.24
14.83,71.54
14.67,72.58
14.6,73.09
14.59,73.31
14.64,73.53
14.57,73.89
14.65,73.62
14.47,74.36
14.42,74.35
14.43,75.19
14.52,74.23
14.53,74.71
14.41,75.2
14.32,75.34
14.24,75.77
14.37,76.05
14.41,75.17
14.44,75.14
14.46,75.03
14.34,75.7
14.46,76.43
14.61,74.96
14.71,75.03
14.63,75.91
14.63,76.18
14.76,75.67
14.98,74.24
14.79,74.86
14.88,75.3
14.99,74.39
15.16,73.83
15.48,71.99
15.37,72.41
15.38,72.91
15.52,72.91
15.49,72.89
15.58,71.12
15.65,71.74
15.83,71.39
15.89,71.06
16.01,70.19
16.03,70.12
16.04,69.93
16.17,69.5
16.41,67.92
16.65,66.85
16.61,67.16
16.53,66.9
16.49,67.53
16.63,67.29
16.62,66.06
16.86,66.48
16.93,65.72
16.93,65.18
17.04,65.54
17.03,62.43
17.12,62.02
17.05,62.42
16.94,62.63
17.03,62.54
17.14,62.75
17.19,60.99
17.15,61
17.15,61.6
17.19,60.83
