47.986	11.868	54.41
47.986	11.868	46.15
47.986	11.868	49.75
47.986	11.868	38.45
47.986	11.868	38.20
47.986	11.868	38.10
47.986	11.868	38.46
47.986	11.868	51.06
47.986	11.868	38.36
47.986	11.868	38.04
47.986	11.868	37.77
47.986	11.868	38.08
47.986	11.868	39.38
47.986	11.868	47.99
47.986	11.868	48.26
47.986	11.868	53.07
47.986	11.868	53.03
47.986	11.868	38.83
47.986	11.868	40.02
47.986	11.868	38.61
47.986	11.868	48.29
47.986	11.868	38.02
47.986	11.868	38.32
47.986	11.868	38.07
47.986	11.868	40.15
47.986	11.868	37.82
47.986	11.868	38.44
47.986	11.868	48.99
47.986	11.868	38.87
47.986	11.868	37.86
47.986	11.868	50.01
47.986	11.868	37.93
47.986	11.868	38.39
47.986	11.868	38.54
47.986	11.868	49.08
47.986	11.868	38.24
47.986	11.868	48.86
47.986	11.868	38.86
47.986	11.868	48.51
47.986	11.868	38.48
47.986	11.868	37.75
47.986	11.868	38.00
47.986	11.868	39.99
47.986	11.868	54.47
47.986	11.868	38.53
47.986	11.868	37.96
47.986	11.868	39.47
47.986	11.868	50.47
47.986	11.868	40.76
47.986	11.868	38.67
47.986	11.868	38.30
47.986	11.868	37.97
47.986	11.868	46.92
47.986	11.868	44.92
47.986	11.868	38.58
47.986	11.868	37.90
47.986	11.868	47.66
47.986	11.868	38.55
47.986	11.868	38.40
47.986	11.868	38.21
47.986	11.868	50.86
47.986	11.868	38.43
47.986	11.868	51.75
47.986	11.868	40.29
47.986	11.868	44.00
47.986	11.868	52.71
47.986	11.868	47.43
47.986	11.868	47.78
47.986	11.868	48.09
47.986	11.868	50.33
47.986	11.868	47.31
47.986	11.868	51.82
47.986	11.868	42.20
47.986	11.868	39.64
47.986	11.868	48.81
47.986	11.868	52.99
47.986	11.868	48.22
47.986	11.868	38.83
47.986	11.868	49.64
47.986	11.868	39.00
47.986	11.868	51.55
47.986	11.868	38.20
47.986	11.868	46.49
47.986	11.868	38.26
47.986	11.868	51.58
47.986	11.868	55.75
47.986	11.868	54.43
47.986	11.868	51.67
47.986	11.868	50.61
47.986	11.868	52.40
47.986	11.868	52.85
47.986	11.868	40.29
47.986	11.868	49.11
47.986	11.868	51.82
47.986	11.868	49.77
47.986	11.868	52.05
47.986	11.868	51.01
47.986	11.868	54.61
47.986	11.868	48.06
47.986	11.868	54.76
47.986	11.868	53.91
47.986	11.868	50.21
47.986	11.868	40.45
47.986	11.868	54.67
47.986	11.868	54.16
47.986	11.868	55.51
47.986	11.868	54.15
47.986	11.868	55.31
47.986	11.868	54.38
47.986	11.868	58.26
47.986	11.868	56.74
47.986	11.868	51.25
47.986	11.868	56.40
47.986	11.868	58.75
47.986	11.868	59.66
47.986	11.868	54.87
47.986	11.868	56.29
47.986	11.868	59.31
47.986	11.868	58.27
47.986	11.868	57.93
47.986	11.868	58.34
